,Number of reviews,Location
5630666,10,"Melbourne, Australia"
23680669,8,"Melbourne, Australia"
2430835,138,"Melbourne, Australia"
3897421,13,"Melbourne, Australia"
5979497,290,"Melbourne, Australia"
5990837,10,"Melbourne, Australia"
4003668,121,"Melbourne, Australia"
3751391,180,"Melbourne, Australia"
116187747,15,"Melbourne, Australia"
36846935,9,"Melbourne, Australia"
5383485,43,"Melbourne, Australia"
16225403,95,"Melbourne, Australia"
3895047,176,"Melbourne, Australia"
6418616,128,"Melbourne, Australia"
48634908,34,"Melbourne, Australia"
120174430,58,"Melbourne, Australia"
24400414,50,"Melbourne, Australia"
17854848,24,"Melbourne, Australia"
140631654,9,"Melbourne, Australia"
3954907,514,"Melbourne, Australia"
31610900,29,"Melbourne, Australia"
9557370,83,"Melbourne, Australia"
34247003,373,"Melbourne, Australia"
1232599,37,"Melbourne, Australia"
2068905,13,"Melbourne, Australia"
5810788,50,"Melbourne, Australia"
2547545,39,"Melbourne, Australia"
129191301,83,"Melbourne, Australia"
21301078,189,"Melbourne, Australia"
44303773,44,"Melbourne, Australia"
60833539,12,"Melbourne, Australia"
5567723,18,"Melbourne, Australia"
120677384,30,"Melbourne, Australia"
20190858,95,"Melbourne, Australia"
131120016,63,"Melbourne, Australia"
25144039,18,"Melbourne, Australia"
193755,247,"Melbourne, Australia"
2278459,28,"Melbourne, Australia"
141097521,44,"Melbourne, Australia"
7812731,31,"Melbourne, Australia"
199122282,4,"Melbourne, Australia"
1930965,301,"Melbourne, Australia"
4448844,16,"Melbourne, Australia"
61207690,16,"Melbourne, Australia"
135593535,15,"Melbourne, Australia"
34620204,18,"Melbourne, Australia"
